filename,class_name,threshold,pred_area,iou,dice,precision,recall,f1,pixel_accuracy,specificity,tp,fp,fn,tn
to_label_197.jpg,ALGAL_LEAF_SPOT,0.1,1.992984693877551e-05,0.0,0.0,0.0,0.0,0.0,0.9904336734674138,0.9999798780590378,0,1,479,49696
to_label_197.jpg,ALGAL_LEAF_SPOT,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9904536033143525,0.9999999999979878,0,0,479,49697
to_label_197.jpg,ALGAL_LEAF_SPOT,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9904536033143525,0.9999999999979878,0,0,479,49697
to_label_197.jpg,ALGAL_LEAF_SPOT,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9904536033143525,0.9999999999979878,0,0,479,49697
to_label_197.jpg,ALGAL_LEAF_SPOT,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9904536033143525,0.9999999999979878,0,0,479,49697
to_label_197.jpg,ALGAL_LEAF_SPOT,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9904536033143525,0.9999999999979878,0,0,479,49697
to_label_197.jpg,ALGAL_LEAF_SPOT,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.9904536033143525,0.9999999999979878,0,0,479,49697
to_label_197.jpg,ALGAL_LEAF_SPOT,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9904536033143525,0.9999999999979878,0,0,479,49697
to_label_197.jpg,ALGAL_LEAF_SPOT,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9904536033143525,0.9999999999979878,0,0,479,49697
to_label_199.jpg,ALGAL_LEAF_SPOT,0.1,0.05992904974489796,0.03355319759009025,0.06492785793382554,0.03890921183774828,0.19597989946466,0.06492783029011673,0.9328364158144674,0.9417091913896172,117,2890,480,46689
to_label_199.jpg,ALGAL_LEAF_SPOT,0.2,0.04707429846938776,0.03933965577663015,0.07570125041988168,0.04741744284303906,0.18760469008582836,0.07570121820707264,0.9454918686205647,0.9546178825693244,112,2250,485,47329
to_label_199.jpg,ALGAL_LEAF_SPOT,0.3,0.03888313137755102,0.04340704340526589,0.08320251177067495,0.054331112247343355,0.17755443883123043,0.08320247588657285,0.9534438775491202,0.962786663706483,106,1845,491,47734
to_label_199.jpg,ALGAL_LEAF_SPOT,0.4,0.032106983418367346,0.04495977283270423,0.08605072463378394,0.058969584105588474,0.15912897819780086,0.08605068517493375,0.9597815688756381,0.9694225377660513,95,1516,502,48063
to_label_199.jpg,ALGAL_LEAF_SPOT,0.5,0.025629783163265307,0.044950055491401214,0.08603292617705613,0.06298600310552208,0.1356783919370723,0.08603288286684965,0.9657007334164427,0.9756953548861903,81,1205,516,48374
to_label_199.jpg,ALGAL_LEAF_SPOT,0.6,0.017916932397959183,0.04908835904284092,0.09358288769427921,0.07786429365096059,0.11725293130364273,0.09358283972565656,0.9729751275490812,0.9832792109542684,70,829,527,48750
to_label_199.jpg,ALGAL_LEAF_SPOT,0.7,0.009765625,0.054316197860881064,0.10303587855537848,0.11428571426239066,0.09380234504291418,0.10303582903040628,0.9805683992327396,0.991246293791744,56,434,541,49145
to_label_199.jpg,ALGAL_LEAF_SPOT,0.8,0.0021125637755102043,0.047690014896022356,0.09103840681493053,0.3018867921680313,0.05360134002452239,0.09103838119257956,0.9872648278041548,0.9985074325803294,32,74,565,49505
to_label_199.jpg,ALGAL_LEAF_SPOT,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9881018813755817,0.999999999997983,0,0,597,49579
to_label_20.jpg,ALGAL_LEAF_SPOT,0.1,0.08087531887755102,0.13823805060702535,0.2428983120592439,0.21808772793942613,0.27407866211600873,0.24289826270303572,0.8900470344370016,0.9324131467379547,885,3173,2344,43774
to_label_20.jpg,ALGAL_LEAF_SPOT,0.2,0.0633968431122449,0.1341118188228218,0.2365054602147191,0.2382898459528988,0.23474759986885266,0.23650541021384378,0.9024633290798341,0.9483886084287635,758,2423,2471,44524
to_label_20.jpg,ALGAL_LEAF_SPOT,0.3,0.05424904336734694,0.13158395131904196,0.23256595529772198,0.25422483467104245,0.21430783523647237,0.23256590565674046,0.9089803890288006,0.9567597503547474,692,2030,2537,44917
to_label_20.jpg,ALGAL_LEAF_SPOT,0.4,0.047572544642857144,0.12545090180109317,0.2229344729305033,0.2622538751461142,0.19386807060409206,0.22293442405047628,0.913026147957364,0.9624896159478508,626,1761,2603,45186
to_label_20.jpg,ALGAL_LEAF_SPOT,0.5,0.04141422193877551,0.11397984886410623,0.20463538722056462,0.2613089509017657,0.1681635181118562,0.20463533956863939,0.9158761160696033,0.9673035550706812,543,1535,2686,45412
to_label_20.jpg,ALGAL_LEAF_SPOT,0.6,0.03599330357142857,0.10150951651495276,0.18430983117806735,0.25692137318621694,0.14369773923370402,0.18430978516816804,0.9181481186206191,0.971414573879116,464,1342,2765,45605
to_label_20.jpg,ALGAL_LEAF_SPOT,0.7,0.02822066326530612,0.08680393074200272,0.1597416576930088,0.2620056496990109,0.11489625270625903,0.1597416153067603,0.9222138073961212,0.9777408567086763,371,1045,2858,45902
to_label_20.jpg,ALGAL_LEAF_SPOT,0.8,0.019909917091836735,0.06633039091888196,0.12440870387596006,0.26326326323691057,0.08144936512600033,0.12440866778247213,0.9262197066308071,0.9843227469252895,263,736,2966,46211
to_label_20.jpg,ALGAL_LEAF_SPOT,0.9,0.004902742346938775,0.008415554265571227,0.016690647481534083,0.11788617881386741,0.008981108702106501,0.016690634325074286,0.9318997130083468,0.9953777664153293,29,217,3200,46730
to_label_21.jpg,ALGAL_LEAF_SPOT,0.1,0.040318080357142856,0.14561170212281876,0.25420777712553083,0.21651013345444833,0.3078004216227828,0.2542077286339634,0.948780293365456,0.9674891801510317,438,1585,985,47168
to_label_21.jpg,ALGAL_LEAF_SPOT,0.2,0.024294483418367346,0.15826391932668726,0.27327781982311594,0.2961443806155747,0.25368938859777307,0.2732777701108833,0.9617346938756343,0.9824010830082612,361,858,1062,47895
to_label_21.jpg,ALGAL_LEAF_SPOT,0.3,0.016721141581632654,0.1470588235219544,0.2564102563989209,0.34564958279551256,0.20379479970458222,0.25641020972040335,0.9664779974470534,0.9887391545115404,290,549,1133,48204
to_label_21.jpg,ALGAL_LEAF_SPOT,0.4,0.012057557397959183,0.12791991100512123,0.22682445758250372,0.3801652891933611,0.1616303583863928,0.22682441570601128,0.9687499999980693,0.9923081656493091,230,375,1193,48378
to_label_21.jpg,ALGAL_LEAF_SPOT,0.5,0.008769132653061224,0.0978196817856323,0.1782071926903807,0.37727272718698346,0.11665495431365741,0.17820715660121006,0.9694874043348025,0.9943798330338761,166,274,1257,48479
to_label_21.jpg,ALGAL_LEAF_SPOT,0.6,0.006317761479591837,0.08343711082917576,0.15402298849689522,0.42271293362059525,0.09416725227728971,0.15402295868946275,0.9706632653041879,0.9962463848358126,134,183,1289,48570
to_label_21.jpg,ALGAL_LEAF_SPOT,0.7,0.00408561862244898,0.06614276358440453,0.12407862407100254,0.4926829265889352,0.07097680955228554,0.1240786020503483,0.9715800382633698,0.9978667979385928,101,104,1322,48649
to_label_21.jpg,ALGAL_LEAF_SPOT,0.8,0.0016940369897959183,0.04359861591393781,0.08355437665228418,0.741176469716263,0.044272663384098895,0.08355436600896152,0.9724569515286742,0.9995487457161619,63,22,1360,48731
to_label_21.jpg,ALGAL_LEAF_SPOT,0.9,0.0004185267857142857,0.014757554461366298,0.02908587257416303,0.9999999952380952,0.014757554461366298,0.029085869705861175,0.9720583545898994,0.9999999999979489,21,0,1402,48753
to_label_221.jpg,ALGAL_LEAF_SPOT,0.1,0.0419921875,0.0,0.0,0.0,0.0,0.0,0.9458705357124005,0.9574918796760798,0,2107,609,47460
to_label_221.jpg,ALGAL_LEAF_SPOT,0.2,0.02871890943877551,0.0,0.0,0.0,0.0,0.0,0.9591438137735986,0.9709282385438478,0,1441,609,48126
to_label_221.jpg,ALGAL_LEAF_SPOT,0.3,0.02166374362244898,0.0,0.0,0.0,0.0,0.0,0.9661989795899111,0.9780700869510398,0,1087,609,48480
to_label_221.jpg,ALGAL_LEAF_SPOT,0.4,0.017378826530612245,0.0,0.0,0.0,0.0,0.0,0.9704838966817393,0.9824076502491932,0,872,609,48695
to_label_221.jpg,ALGAL_LEAF_SPOT,0.5,0.01385124362244898,0.0,0.0,0.0,0.0,0.0,0.9740114795898955,0.9859785744527891,0,695,609,48872
to_label_221.jpg,ALGAL_LEAF_SPOT,0.6,0.010443239795918368,0.0,0.0,0.0,0.0,0.0,0.9774194834164194,0.9894284503782972,0,524,609,49043
to_label_221.jpg,ALGAL_LEAF_SPOT,0.7,0.006756218112244898,0.0,0.0,0.0,0.0,0.0,0.9811065051000855,0.9931607722860105,0,339,609,49228
to_label_221.jpg,ALGAL_LEAF_SPOT,0.8,0.001096141581632653,0.0,0.0,0.0,0.0,0.0,0.9867665816306864,0.9988903907821759,0,55,609,49512
to_label_221.jpg,ALGAL_LEAF_SPOT,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9878627232123169,0.9999999999979825,0,0,609,49567
to_label_24.jpg,ALGAL_LEAF_SPOT,0.1,0.022341358418367346,0.10279870828294947,0.18643240604263386,0.17038358606865445,0.20581896549506262,0.1864323564771577,0.9667769451511344,0.9811159844034659,191,930,737,48318
to_label_24.jpg,ALGAL_LEAF_SPOT,0.2,0.00839046556122449,0.07063492062931469,0.13194959228080433,0.21140142512793314,0.0959051724034585,0.13194954933359493,0.9766621492327474,0.9932586094846628,89,332,839,48916
to_label_24.jpg,ALGAL_LEAF_SPOT,0.3,0.00408561862244898,0.024412296561988036,0.04766107678308375,0.13170731700892327,0.029094827583071678,0.04766104713931775,0.9784956951511111,0.9963856400239677,27,178,901,49070
to_label_24.jpg,ALGAL_LEAF_SPOT,0.4,0.0028300382653061226,0.005639097743830912,0.01121495326997991,0.042253521097004566,0.006465517240682595,0.011214930249326653,0.9789142219368245,0.9972384665346872,6,136,922,49112
to_label_24.jpg,ALGAL_LEAF_SPOT,0.5,0.0020129145408163264,0.0,0.0,0.0,0.0,0.0,0.9794921874980479,0.9979491552936202,0,101,928,49147
to_label_24.jpg,ALGAL_LEAF_SPOT,0.6,0.0012356505102040817,0.0,0.0,0.0,0.0,0.0,0.9802694515286585,0.9987410656250025,0,62,928,49186
to_label_24.jpg,ALGAL_LEAF_SPOT,0.7,0.0004185267857142857,0.0,0.0,0.0,0.0,0.0,0.9810865752531467,0.9995735867426097,0,21,928,49227
to_label_24.jpg,ALGAL_LEAF_SPOT,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9815051020388602,0.9999999999979694,0,0,928,49248
to_label_24.jpg,ALGAL_LEAF_SPOT,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9815051020388602,0.9999999999979694,0,0,928,49248
to_label_26.jpg,ALGAL_LEAF_SPOT,0.1,0.08512037627551021,0.0743567378963289,0.13842094580599917,0.07984078669913743,0.5198170730914913,0.13842092271987308,0.9153977997430736,0.9206381260078339,341,3930,315,45590
to_label_26.jpg,ALGAL_LEAF_SPOT,0.2,0.0723453443877551,0.08095838587437684,0.14979001399557187,0.08842975206367963,0.4893292682180901,0.1497899880660451,0.9273756377532538,0.9331785137299411,321,3309,335,46211
to_label_26.jpg,ALGAL_LEAF_SPOT,0.3,0.06505102040816327,0.08257387461799023,0.15255102040427165,0.0916053921540562,0.4557926828573487,0.15255099253199697,0.9337930484675268,0.9401252019367121,299,2965,357,46555
to_label_26.jpg,ALGAL_LEAF_SPOT,0.4,0.05905213647959184,0.08385744234549694,0.15473887813885773,0.09449881876157615,0.4268292682276175,0.15473884845291852,0.9390345982124142,0.9458198707573792,280,2683,376,46837
to_label_26.jpg,ALGAL_LEAF_SPOT,0.5,0.0545280612244898,0.08683114386136395,0.15978773584434589,0.09904970759871895,0.41310975603458694,0.15978770464081607,0.94319993622261,0.9502221324698097,271,2465,385,47055
to_label_26.jpg,ALGAL_LEAF_SPOT,0.6,0.049685108418367346,0.08773747840802289,0.1613210542978304,0.10188527877649879,0.3871951218921959,0.16132102130814682,0.9473652742328058,0.9547859450707697,254,2239,402,47281
to_label_26.jpg,ALGAL_LEAF_SPOT,0.7,0.042669802295918366,0.08790353947538299,0.16160171611864135,0.10555815039208043,0.34451219506943415,0.1616016802069921,0.9532645089266716,0.961328756056217,226,1915,430,47605
to_label_26.jpg,ALGAL_LEAF_SPOT,0.8,0.033522002551020405,0.08946877911978245,0.16424294267903153,0.11414982163411713,0.292682926784652,0.16424290230089514,0.9610570790797173,0.9699111470093499,192,1490,464,48030
to_label_26.jpg,ALGAL_LEAF_SPOT,0.9,0.018674266581632654,0.08588957054629245,0.15819209038554977,0.1344717182353819,0.19207317070242788,0.15819204193142458,0.9732740752531623,0.9836227786732964,126,811,530,48709
to_label_32.jpg,ALGAL_LEAF_SPOT,0.1,0.29765226403061223,0.10157348510142904,0.1844152686592243,0.10157348510142904,0.9999999999340804,0.1844152519170276,0.7325813137740502,0.7242442302539628,1517,13418,0,35241
to_label_32.jpg,ALGAL_LEAF_SPOT,0.2,0.2711654974489796,0.1102709052190715,0.1986378364068066,0.11039247390775839,0.9901120632175272,0.19863781835578848,0.758470184947468,0.7512484843487305,1502,12104,15,36555
to_label_32.jpg,ALGAL_LEAF_SPOT,0.3,0.25534119897959184,0.1134509285871983,0.2037825389056893,0.11395566656170811,0.9624258404111782,0.20378251997208377,0.7726203762739704,0.766702973754564,1460,11352,57,37307
to_label_32.jpg,ALGAL_LEAF_SPOT,0.4,0.24260602678571427,0.1137325089479846,0.2042366691000421,0.11484432760934161,0.9215557019827583,0.2042366493921971,0.7828842474474194,0.7785610061843059,1398,10775,119,37884
to_label_32.jpg,ALGAL_LEAF_SPOT,0.5,0.2303890306122449,0.11293617021180478,0.2029517473411107,0.11479238754225958,0.8747528015244065,0.2029517268299621,0.7922712053555638,0.7896997472188296,1327,10233,190,38426
to_label_32.jpg,ALGAL_LEAF_SPOT,0.6,0.21697624362244897,0.11067335243453909,0.1992905514334143,0.11352989804249536,0.8147659854439837,0.19929052996338,0.8020567602024832,0.8016605355621742,1236,9651,281,39008
to_label_32.jpg,ALGAL_LEAF_SPOT,0.7,0.19899952168367346,0.11119698579739931,0.20013910624065256,0.1152729093628916,0.7587343440501823,0.200139083339894,0.8166454081616378,0.8184508518448418,1151,8834,366,39825
to_label_32.jpg,ALGAL_LEAF_SPOT,0.8,0.169921875,0.10886607044154945,0.19635567061439455,0.11564625850204495,0.649967040168097,0.19635564496559582,0.8391462053554705,0.8450440822851989,986,7540,531,41119
to_label_32.jpg,ALGAL_LEAF_SPOT,0.9,0.09235491071428571,0.09565372283406388,0.17460575515892365,0.11588260681666201,0.3539881344526046,0.17460571799571245,0.8988161670900454,0.9158018043919608,537,4097,980,44562
